Antecedent,Consequent,Support,Confidence,Lift,Rule_Type
"{frankfurter, vinegar, whole milk}",{softener},0.00013366303548753594,1.0,364.9512195121951,Max Confidence
"{bottled water, pip fruit, rolls/buns}",{popcorn},0.00013366303548753594,1.0,311.7291666666667,Max Confidence
"{frankfurter, softener, whole milk}",{vinegar},0.00013366303548753594,1.0,293.3921568627451,Max Confidence
"{berries, pip fruit, whole milk}",{sweet spreads},0.00013366303548753594,1.0,220.04411764705884,Max Confidence
"{ham, pastry, soda}",{turkey},0.00013366303548753594,1.0,187.0375,Max Confidence
"{curd, rolls/buns, tropical fruit, whole milk}",{cake bar},0.00013366303548753594,1.0,162.6413043478261,Max Confidence
"{frankfurter, liver loaf}",{condensed milk},0.00013366303548753594,1.0,152.68367346938774,Max Confidence
"{frozen meals, root vegetables, soda}",{spread cheese},0.00013366303548753594,1.0,149.63,Max Confidence
"{UHT-milk, frankfurter, whole milk}",{canned fish},0.00013366303548753594,1.0,130.11304347826086,Max Confidence
"{bottled beer, onions, whole milk}",{canned fish},0.00013366303548753594,1.0,130.11304347826086,Max Confidence
"{liquor, soda, whole milk}",{flour},0.00013366303548753594,1.0,102.48630136986301,Max Confidence
"{frozen vegetables, tea}",{cat food},0.00013366303548753594,1.0,84.53672316384181,Max Confidence
"{ham, specialty bar, whole milk}",{candy},0.00013366303548753594,1.0,69.5953488372093,Max Confidence
"{frozen vegetables, vinegar}",{grapes},0.00013366303548753594,1.0,69.27314814814815,Max Confidence
"{citrus fruit, frankfurter, soda}",{oil},0.00013366303548753594,1.0,67.09865470852017,Max Confidence
"{bottled beer, salt}",{misc. beverages},0.00013366303548753594,1.0,63.40254237288135,Max Confidence
"{bottled beer, turkey}",{misc. beverages},0.00013366303548753594,1.0,63.40254237288135,Max Confidence
"{chicken, citrus fruit, cream cheese }",{specialty chocolate},0.00020049455323130388,1.0,62.60669456066945,Max Confidence
"{chicken, citrus fruit, curd}",{specialty chocolate},0.00013366303548753594,1.0,62.60669456066945,Max Confidence
"{citrus fruit, dessert, sausage}",{specialty chocolate},0.00013366303548753594,1.0,62.60669456066945,Max Confidence
"{curd, other vegetables, specialty bar}",{beverages},0.00013366303548753594,1.0,60.33467741935484,Max Confidence
"{other vegetables, rolls/buns, specialty bar}",{beverages},0.00013366303548753594,1.0,60.33467741935484,Max Confidence
"{hygiene articles, rolls/buns, sausage}",{frozen meals},0.00013366303548753594,1.0,59.61354581673307,Max Confidence
"{long life bakery product, sausage, soda}",{frozen meals},0.00013366303548753594,1.0,59.61354581673307,Max Confidence
"{margarine, other vegetables, yogurt}",{frozen meals},0.00013366303548753594,1.0,59.61354581673307,Max Confidence
"{root vegetables, soda, spread cheese}",{frozen meals},0.00013366303548753594,1.0,59.61354581673307,Max Confidence
"{margarine, other vegetables, sausage, yogurt}",{frozen meals},0.00013366303548753594,1.0,59.61354581673307,Max Confidence
"{other vegetables, roll products , tropical fruit}",{meat},0.00013366303548753594,1.0,59.376984126984134,Max Confidence
"{candy, specialty bar, whole milk}",{ham},0.00013366303548753594,1.0,58.44921874999999,Max Confidence
"{citrus fruit, onions, yogurt}",{ham},0.00013366303548753594,1.0,58.44921874999999,Max Confidence
"{pastry, soda, turkey}",{ham},0.00013366303548753594,1.0,58.44921874999999,Max Confidence
"{citrus fruit, frozen vegetables, whole milk, yogurt}",{ham},0.00013366303548753594,1.0,58.44921874999999,Max Confidence
"{fruit/vegetable juice, specialty cheese}",{long life bakery product},0.00013366303548753594,1.0,55.832089552238806,Max Confidence
"{prosecco, whole milk}",{waffles},0.00013366303548753594,1.0,54.018050541516246,Max Confidence
"{other vegetables, prosecco, sausage}",{waffles},0.00013366303548753594,1.0,54.018050541516246,Max Confidence
"{other vegetables, prosecco, whole milk}",{waffles},0.00013366303548753594,1.0,54.018050541516246,Max Confidence
"{prosecco, sausage, whole milk}",{waffles},0.00013366303548753594,1.0,54.018050541516246,Max Confidence
"{other vegetables, prosecco, sausage, whole milk}",{waffles},0.00013366303548753594,1.0,54.018050541516246,Max Confidence
"{bottled beer, canned fish, whole milk}",{onions},0.00013366303548753594,1.0,49.382838283828384,Max Confidence
"{flour, tropical fruit, yogurt}",{onions},0.00013366303548753594,1.0,49.382838283828384,Max Confidence
"{root vegetables, tropical fruit, whole milk, yogurt}",{onions},0.00013366303548753594,1.0,49.382838283828384,Max Confidence
"{butter milk, sweet spreads}",{berries},0.00013366303548753594,1.0,45.898773006134974,Max Confidence
"{curd, sweet spreads}",{hamburger meat},0.00013366303548753594,1.0,45.75840978593272,Max Confidence
"{beverages, soda, yogurt}",{hamburger meat},0.00013366303548753594,1.0,45.75840978593272,Max Confidence
"{frankfurter, root vegetables, soda}",{hamburger meat},0.00020049455323130388,1.0,45.75840978593272,Max Confidence
"{coffee, frankfurter, root vegetables, soda}",{hamburger meat},0.00013366303548753594,1.0,45.75840978593272,Max Confidence
"{butter, chocolate, margarine}",{napkins},0.00013366303548753594,1.0,45.205438066465256,Max Confidence
"{napkins, sweet spreads}",{chocolate},0.00013366303548753594,1.0,42.388101983002834,Max Confidence
"{butter, margarine, napkins}",{chocolate},0.00013366303548753594,1.0,42.388101983002834,Max Confidence
"{citrus fruit, sausage, specialty chocolate}",{dessert},0.00013366303548753594,1.0,42.388101983002834,Max Confidence
"{pip fruit, soda, whole milk, yogurt}",{dessert},0.00013366303548753594,1.0,42.388101983002834,Max Confidence
"{curd, nut snack}",{cream cheese },0.00013366303548753594,1.0,42.26836158192091,Max Confidence
"{beef, vinegar}",{white bread},0.00013366303548753594,1.0,41.67966573816156,Max Confidence
"{liver loaf, sausage}",{white bread},0.00013366303548753594,1.0,41.67966573816156,Max Confidence
"{cat food, tea}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{grapes, vinegar}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{cat food, citrus fruit, other vegetables}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{root vegetables, sausage, white bread}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{brown bread, canned beer, frankfurter, pip fruit}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{citrus fruit, ham, whole milk, yogurt}",{frozen vegetables},0.00013366303548753594,1.0,35.711217183770884,Max Confidence
"{pastry, seasonal products, whole milk}",{coffee},0.00013366303548753594,1.0,31.634249471458773,Max Confidence
"{frankfurter, pastry, sausage, soda}",{coffee},0.00013366303548753594,1.0,31.634249471458773,Max Confidence
"{bottled water, chocolate, soda}",{margarine},0.00013366303548753594,1.0,31.04356846473029,Max Confidence
"{bottled water, onions, other vegetables}",{margarine},0.00013366303548753594,1.0,31.04356846473029,Max Confidence
"{citrus fruit, sausage, yogurt}",{margarine},0.00013366303548753594,1.0,31.04356846473029,Max Confidence
"{frozen meals, other vegetables, sausage, yogurt}",{margarine},0.00013366303548753594,1.0,31.04356846473029,Max Confidence
"{cream cheese , nut snack}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{hamburger meat, sweet spreads}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{hygiene articles, salty snack}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{cake bar, rolls/buns, tropical fruit}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{cake bar, tropical fruit, whole milk}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{citrus fruit, pastry, specialty chocolate}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{frankfurter, waffles, white bread}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{newspapers, other vegetables, sausage}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{other vegetables, pastry, specialty chocolate}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{cake bar, rolls/buns, tropical fruit, whole milk}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{citrus fruit, other vegetables, pastry, specialty chocolate}",{curd},0.00013366303548753594,1.0,29.688492063492067,Max Confidence
"{vinegar, white bread}",{beef},0.00013366303548753594,1.0,29.454724409448822,Max Confidence
"{beverages, hard cheese}",{fruit/vegetable juice},0.00013366303548753594,1.0,29.39685658153242,Max Confidence
"{berries, pip fruit, soda}",{fruit/vegetable juice},0.00013366303548753594,1.0,29.39685658153242,Max Confidence
"{dog food, rolls/buns, yogurt}",{fruit/vegetable juice},0.00013366303548753594,1.0,29.39685658153242,Max Confidence
"{rolls/buns, semi-finished bread, tropical fruit}",{fruit/vegetable juice},0.00013366303548753594,1.0,29.39685658153242,Max Confidence
"{bottled beer, citrus fruit, soda}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{bottled beer, frankfurter, soda}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{chocolate, margarine, napkins}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{citrus fruit, margarine, whole milk}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{citrus fruit, pip fruit, whole milk}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{cream cheese , frankfurter, soda}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{dessert, shopping bags, whole milk}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{frankfurter, rubbing alcohol}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{frozen dessert, pip fruit}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{oil, popcorn}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{brown bread, oil, whole milk}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{canned beer, oil, rolls/buns}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{citrus fruit, herbs, other vegetables}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{long life bakery product, other vegetables, rolls/buns}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{frozen meals, oil, other vegetables}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{brown bread, citrus fruit, frankfurter, whole milk}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{cake bar, canned beer, sausage}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, frankfurter}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, whole milk}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{frankfurter, frozen vegetables, pip fruit}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{canned beer, frankfurter, frozen vegetables, pip fruit}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, frankfurter, whole milk}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{domestic eggs, rubbing alcohol}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{frozen fish, napkins}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{mayonnaise, oil}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{softener, vinegar}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{UHT-milk, canned fish, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, frozen vegetables, pip fruit}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, margarine, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{citrus fruit, domestic eggs, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, root vegetables}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, sausage, soda}",{frankfurter},0.00020049455323130388,1.0,26.483185840707968,Max Confidence
"{curd, waffles, white bread}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{ice cream, other vegetables, rolls/buns}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{softener, vinegar, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, canned beer, frozen vegetables, pip fruit}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, citrus fruit, domestic eggs, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, root vegetables, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, pastry, sausage, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{bottled beer, domestic eggs, shopping bags}",{newspapers},0.00013366303548753594,1.0,25.709621993127147,Max Confidence
"{hard cheese, other vegetables, soda}",{newspapers},0.00013366303548753594,1.0,25.709621993127147,Max Confidence
"{curd, finished products}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
"{citrus fruit, dishes, frankfurter}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
