Antecedent,Consequent,Support,Confidence,Lift,Rule_Type
"{chicken, citrus fruit, cream cheese }",{specialty chocolate},0.0004,1.0,61.354,Max Confidence & Lift
"{frankfurter, root vegetables, soda}",{hamburger meat},0.0004,1.0,35.5538,Max Confidence
"{coffee, sausage, soda}",{frankfurter},0.0004,1.0,14.2361,Max Confidence
"{chicken, cream cheese , specialty chocolate}",{citrus fruit},0.0004,1.0,13.2309,Max Confidence
"{frankfurter, hamburger meat, soda}",{root vegetables},0.0004,1.0,12.2491,Max Confidence
"{bottled beer, white wine}",{tropical fruit},0.0004,1.0,10.7823,Max Confidence
"{pasta, pastry}",{tropical fruit},0.0004,1.0,10.7823,Max Confidence
"{bottled water, finished products}",{yogurt},0.0004,1.0,10.5205,Max Confidence
"{butter milk, canned beer, sausage}",{yogurt},0.0004,1.0,10.5205,Max Confidence
"{butter, rolls/buns, shopping bags}",{soda},0.0004,1.0,9.9612,Max Confidence
"{coffee, frankfurter, sausage}",{soda},0.0004,1.0,9.9612,Max Confidence
"{frankfurter, hamburger meat, root vegetables}",{soda},0.0004,1.0,9.9612,Max Confidence
"{other vegetables, tropical fruit, whipped/sour cream}",{sausage},0.0004,1.0,9.6426,Max Confidence
"{fruit/vegetable juice, semi-finished bread}",{rolls/buns},0.0004,1.0,8.3732,Max Confidence
"{beverages, specialty bar}",{other vegetables},0.0004,1.0,7.0314,Max Confidence
"{citrus fruit, curd, pastry}",{other vegetables},0.0004,1.0,7.0314,Max Confidence
"{domestic eggs, root vegetables, whole milk}",{other vegetables},0.0004,1.0,7.0314,Max Confidence
"{butter, processed cheese}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{house keeping products, other vegetables}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{pastry, processed cheese}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{canned beer, citrus fruit, yogurt}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{canned beer, tropical fruit, yogurt}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{citrus fruit, other vegetables, tropical fruit}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{citrus fruit, rolls/buns, whipped/sour cream}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{pastry, rolls/buns, sausage}",{whole milk},0.0004,1.0,5.1394,Max Confidence
"{other vegetables, pastry, soda}",{whole milk},0.0007,0.8333,4.2828,Normal
"{chicken, specialty chocolate}",{citrus fruit},0.0006,0.8,10.5847,Normal
"{other vegetables, pork, yogurt}",{citrus fruit},0.0006,0.8,10.5847,Normal
"{rolls/buns, tropical fruit, yogurt}",{sausage},0.0006,0.8,7.714,Normal
"{bottled beer, soft cheese}",{whole milk},0.0006,0.8,4.1115,Normal
"{canned fish, frankfurter}",{whole milk},0.0006,0.8,4.1115,Normal
"{canned beer, sausage, yogurt}",{butter milk},0.0004,0.75,38.2335,Normal
"{chicken, citrus fruit, specialty chocolate}",{cream cheese },0.0004,0.75,32.4984,Normal
"{citrus fruit, other vegetables, pastry}",{curd},0.0004,0.75,19.4021,Normal
"{butter, rolls/buns, soda}",{shopping bags},0.0004,0.75,18.5044,Normal
"{citrus fruit, cream cheese , specialty chocolate}",{chicken},0.0004,0.75,16.9373,Normal
"{butter milk, sausage, yogurt}",{canned beer},0.0004,0.75,11.8987,Normal
"{hamburger meat, root vegetables, soda}",{frankfurter},0.0004,0.75,10.6771,Normal
"{curd, other vegetables, pastry}",{citrus fruit},0.0004,0.75,9.9232,Normal
"{specialty chocolate, whipped/sour cream}",{tropical fruit},0.0004,0.75,8.0867,Normal
"{curd, other vegetables, whole milk}",{tropical fruit},0.0004,0.75,8.0867,Normal
"{onions, root vegetables, yogurt}",{tropical fruit},0.0004,0.75,8.0867,Normal
"{canned beer, tropical fruit, whole milk}",{yogurt},0.0004,0.75,7.8904,Normal
"{dessert, soda, whole milk}",{yogurt},0.0004,0.75,7.8904,Normal
"{onions, root vegetables, tropical fruit}",{yogurt},0.0004,0.75,7.8904,Normal
"{onions, root vegetables, whole milk}",{yogurt},0.0004,0.75,7.8904,Normal
"{onions, tropical fruit, whole milk}",{yogurt},0.0004,0.75,7.8904,Normal
"{bottled water, pastry, whole milk}",{soda},0.0004,0.75,7.4709,Normal
{honey},{sausage},0.0004,0.75,7.2319,Normal
"{curd, rolls/buns, yogurt}",{sausage},0.0004,0.75,7.2319,Normal
"{napkins, onions}",{rolls/buns},0.0004,0.75,6.2799,Normal
"{ham, napkins}",{other vegetables},0.0004,0.75,5.2736,Normal
"{frankfurter, sausage, whole milk}",{other vegetables},0.0004,0.75,5.2736,Normal
"{pip fruit, rolls/buns, sausage}",{other vegetables},0.0004,0.75,5.2736,Normal
"{sausage, tropical fruit, whipped/sour cream}",{other vegetables},0.0004,0.75,5.2736,Normal
"{sausage, waffles, whole milk}",{other vegetables},0.0004,0.75,5.2736,Normal
"{butter milk, white bread}",{whole milk},0.0004,0.75,3.8545,Normal
"{hygiene articles, shopping bags}",{whole milk},0.0004,0.75,3.8545,Normal
"{other vegetables, pet care}",{whole milk},0.0004,0.75,3.8545,Normal
"{other vegetables, softener}",{whole milk},0.0004,0.75,3.8545,Normal
"{pot plants, yogurt}",{whole milk},0.0004,0.75,3.8545,Normal
"{bottled water, sausage, soda}",{whole milk},0.0004,0.75,3.8545,Normal
"{citrus fruit, tropical fruit, yogurt}",{whole milk},0.0004,0.75,3.8545,Normal
"{dessert, soda, yogurt}",{whole milk},0.0004,0.75,3.8545,Normal
"{domestic eggs, other vegetables, root vegetables}",{whole milk},0.0004,0.75,3.8545,Normal
"{onions, root vegetables, yogurt}",{whole milk},0.0004,0.75,3.8545,Normal
"{rolls/buns, soda, yogurt}",{whole milk},0.0004,0.75,3.8545,Normal
"{sausage, shopping bags, soda}",{whole milk},0.0004,0.75,3.8545,Normal
"{ice cream, pip fruit}",{rolls/buns},0.0007,0.7143,5.9808,Normal
"{canned beer, oil}",{pork},0.0006,0.6667,11.1913,Normal
"{flour, whipped/sour cream}",{tropical fruit},0.0006,0.6667,7.1882,Normal
"{sausage, tropical fruit, yogurt}",{rolls/buns},0.0006,0.6667,5.5821,Normal
"{citrus fruit, pork, yogurt}",{other vegetables},0.0006,0.6667,4.6876,Normal
"{pork, sausage, soda}",{whole milk},0.0006,0.6667,3.4262,Normal
"{pork, sausage, yogurt}",{whole milk},0.0006,0.6667,3.4262,Normal
"{chewing gum, soda}",{yogurt},0.0007,0.625,6.5753,Normal
{syrup},{whole milk},0.0007,0.625,3.2121,Normal
"{chicken, cream cheese }",{specialty chocolate},0.0004,0.6,36.8124,Normal
"{chicken, specialty chocolate}",{cream cheese },0.0004,0.6,25.9987,Normal
"{frankfurter, sausage, soda}",{coffee},0.0004,0.6,17.8532,Normal
"{butter, dessert}",{shopping bags},0.0004,0.6,14.8036,Normal
"{processed cheese, shopping bags}",{beef},0.0004,0.6,12.5674,Normal
"{ice cream, pastry}",{bottled beer},0.0004,0.6,11.523,Normal
"{citrus fruit, curd, other vegetables}",{pastry},0.0004,0.6,11.3038,Normal
"{finished products, yogurt}",{bottled water},0.0004,0.6,9.9517,Normal
"{brown bread, butter milk}",{canned beer},0.0004,0.6,9.519,Normal
"{chicken, cream cheese }",{citrus fruit},0.0004,0.6,7.9385,Normal
"{ham, pastry}",{root vegetables},0.0004,0.6,7.3495,Normal
"{onions, tropical fruit, yogurt}",{root vegetables},0.0004,0.6,7.3495,Normal
"{other vegetables, sausage, whipped/sour cream}",{tropical fruit},0.0004,0.6,6.4694,Normal
"{butter milk, margarine}",{yogurt},0.0004,0.6,6.3123,Normal
"{butter, hamburger meat}",{soda},0.0004,0.6,5.9767,Normal
"{processed cheese, shopping bags}",{soda},0.0004,0.6,5.9767,Normal
"{dessert, whole milk, yogurt}",{soda},0.0004,0.6,5.9767,Normal
"{dessert, pastry}",{sausage},0.0004,0.6,5.7855,Normal
"{butter milk, canned beer, yogurt}",{sausage},0.0004,0.6,5.7855,Normal
"{coffee, frankfurter, soda}",{sausage},0.0004,0.6,5.7855,Normal
"{cream cheese , liquor}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{frozen vegetables, oil}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{butter, shopping bags, soda}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{citrus fruit, whipped/sour cream, whole milk}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{curd, sausage, whole milk}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{other vegetables, pip fruit, sausage}",{rolls/buns},0.0004,0.6,5.0239,Normal
"{frozen meals, napkins}",{other vegetables},0.0004,0.6,4.2189,Normal
"{berries, frozen vegetables}",{whole milk},0.0004,0.6,3.0836,Normal
"{canned beer, frozen dessert}",{whole milk},0.0004,0.6,3.0836,Normal
"{dessert, pastry}",{whole milk},0.0004,0.6,3.0836,Normal
"{frozen meals, fruit/vegetable juice}",{whole milk},0.0004,0.6,3.0836,Normal
"{frozen meals, meat}",{whole milk},0.0004,0.6,3.0836,Normal
"{fruit/vegetable juice, hamburger meat}",{whole milk},0.0004,0.6,3.0836,Normal
"{grapes, whipped/sour cream}",{whole milk},0.0004,0.6,3.0836,Normal
"{shopping bags, sliced cheese}",{whole milk},0.0004,0.6,3.0836,Normal
"{bottled water, pastry, soda}",{whole milk},0.0004,0.6,3.0836,Normal
"{onions, tropical fruit, yogurt}",{whole milk},0.0004,0.6,3.0836,Normal
"{other vegetables, rolls/buns, white bread}",{whole milk},0.0004,0.6,3.0836,Normal
"{other vegetables, sausage, waffles}",{whole milk},0.0004,0.6,3.0836,Normal
"{cream cheese , specialty chocolate}",{citrus fruit},0.0006,0.5714,7.5605,Normal
"{curd, specialty chocolate}",{citrus fruit},0.0006,0.5714,7.5605,Normal
"{margarine, shopping bags}",{root vegetables},0.0006,0.5714,6.9995,Normal
"{citrus fruit, other vegetables, pork}",{yogurt},0.0006,0.5714,6.0117,Normal
"{pork, soda, whole milk}",{sausage},0.0006,0.5714,5.51,Normal
"{pork, whole milk, yogurt}",{sausage},0.0006,0.5714,5.51,Normal
"{packaged fruit/vegetables, root vegetables}",{rolls/buns},0.0006,0.5714,4.7847,Normal
"{ham, shopping bags}",{whole milk},0.0006,0.5714,2.9368,Normal
"{other vegetables, tropical fruit, yogurt}",{whole milk},0.0006,0.5714,2.9368,Normal
"{other vegetables, pastry, whole milk}",{soda},0.0007,0.5556,5.534,Normal
"{curd, fruit/vegetable juice}",{sausage},0.0007,0.5556,5.357,Normal
"{bottled beer, hard cheese}",{whole milk},0.0007,0.5556,2.8552,Normal
"{rolls/buns, sausage, yogurt}",{whole milk},0.0007,0.5556,2.8552,Normal
"{other vegetables, sugar}",{whole milk},0.001,0.5385,2.7673,Normal
"{butter, napkins}",{chocolate},0.0004,0.5,21.5311,Normal
"{chocolate, napkins}",{butter},0.0004,0.5,13.7016,Normal
"{processed cheese, soda}",{shopping bags},0.0004,0.5,12.3363,Normal
"{pasta, tropical fruit}",{pastry},0.0004,0.5,9.4198,Normal
"{processed cheese, yogurt}",{bottled water},0.0004,0.5,8.2931,Normal
"{brown bread, frozen vegetables}",{canned beer},0.0007,0.5,7.9325,Normal
"{canned fish, whole milk}",{frankfurter},0.0006,0.5,7.1181,Normal
"{coffee, curd}",{frankfurter},0.0006,0.5,7.1181,Normal
"{misc. beverages, pastry}",{frankfurter},0.0004,0.5,7.1181,Normal
"{candy, frankfurter}",{citrus fruit},0.0004,0.5,6.6155,Normal
"{rolls/buns, whipped/sour cream, whole milk}",{citrus fruit},0.0004,0.5,6.6155,Normal
"{onions, whole milk, yogurt}",{root vegetables},0.0004,0.5,6.1246,Normal
"{beef, cream cheese }",{tropical fruit},0.0004,0.5,5.3911,Normal
"{bottled water, white bread}",{tropical fruit},0.0004,0.5,5.3911,Normal
"{citrus fruit, other vegetables, whole milk}",{tropical fruit},0.0004,0.5,5.3911,Normal
"{onions, whole milk, yogurt}",{tropical fruit},0.0004,0.5,5.3911,Normal
"{bottled water, processed cheese}",{yogurt},0.0004,0.5,5.2602,Normal
"{frozen vegetables, white wine}",{yogurt},0.0004,0.5,5.2602,Normal
"{other vegetables, soft cheese}",{yogurt},0.0007,0.5,5.2602,Normal
"{canned beer, citrus fruit, whole milk}",{yogurt},0.0004,0.5,5.2602,Normal
"{curd, rolls/buns, sausage}",{yogurt},0.0004,0.5,5.2602,Normal
"{pork, sausage, soda}",{yogurt},0.0004,0.5,5.2602,Normal
"{beverages, hamburger meat}",{soda},0.0004,0.5,4.9806,Normal
"{pork, sausage, yogurt}",{soda},0.0004,0.5,4.9806,Normal
{cream},{sausage},0.0004,0.5,4.8213,Normal
"{brown bread, white bread}",{sausage},0.0004,0.5,4.8213,Normal
"{other vegetables, waffles, whole milk}",{sausage},0.0004,0.5,4.8213,Normal
"{pork, soda, yogurt}",{sausage},0.0004,0.5,4.8213,Normal
"{chocolate, pastry}",{rolls/buns},0.0006,0.5,4.1866,Normal
"{dishes, pip fruit}",{rolls/buns},0.0004,0.5,4.1866,Normal
"{domestic eggs, salty snack}",{rolls/buns},0.0004,0.5,4.1866,Normal
